gene,logFC,logCPM,LR,PValue,FDR
ENSG00000184166.3,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000289984.1,-0.84086597,-2.732787238,4.27629049,0.038647606,0.995853392
ENSG00000285541.1,-3.53409999,-4.903255813,4.916031868,0.026608565,0.995853392
ENSG00000290976.1,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000228725.3,-3.5708531,-4.89861699,5.005834084,0.025262028,0.995853392
ENSG00000267644.1,-3.55456837,-4.900617246,4.966331333,0.025845412,0.995853392
ENSG00000267547.1,-0.677916572,-1.678610688,4.164471161,0.041280298,0.995853392
ENSG00000222881.1,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000278829.1,-1.158869303,-3.120137161,3.863698893,0.049341437,0.995853392
ENSG00000131482.10,-3.883883291,-4.811470042,5.659103425,0.017364998,0.995853392
ENSG00000288909.2,-2.569680531,-4.514197255,5.932569473,0.014863554,0.995853392
ENSG00000240589.3,-3.491967021,-4.908559441,4.815577273,0.028203623,0.995853392
ENSG00000289599.2,-2.727480768,-4.446667288,5.866201735,0.015434318,0.995853392
ENSG00000173868.12,-1.441380836,-3.477428367,6.638475532,0.00997993,0.995853392
ENSG00000278963.1,-3.823096955,-4.816748594,6.332659526,0.011853443,0.995853392
ENSG00000270553.1,-3.55456837,-4.900617246,4.966331333,0.025845412,0.995853392
ENSG00000277463.1,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000265982.1,-2.358822928,-4.200883207,6.286594743,0.012165456,0.995853392
ENSG00000266644.1,-2.397303501,-4.580513159,4.17802503,0.040951396,0.995853392
ENSG00000154262.13,-1.154914271,-3.203048226,6.092525198,0.013575493,0.995853392
ENSG00000267603.1,-4.460610757,-4.583702121,10.85107113,0.000987386,0.995853392
ENSG00000206713.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000267426.5,-4.637268811,-4.511043213,9.351158677,0.002228445,0.995853392
ENSG00000186919.13,-0.844797915,-2.675819125,4.104659674,0.042765198,0.995853392
ENSG00000279382.1,-0.765012034,-1.331732853,4.914169567,0.026637265,0.995853392
ENSG00000167895.16,-1.250858384,-2.048980428,11.19637982,0.000819571,0.995853392
ENSG00000279339.1,-1.712753297,-4.201861886,4.6220765,0.031563006,0.995853392
ENSG00000279187.1,-1.404979205,-3.773486931,5.155742453,0.023169628,0.995853392
ENSG00000278876.1,-1.276356932,-3.695999156,3.927216716,0.047510515,0.995853392
ENSG00000265678.1,-0.78862014,-2.171220331,3.902529589,0.048213462,0.995853392
ENSG00000261520.5,-3.820737659,-4.8180547,6.7200275,0.009533616,0.995853392
ENSG00000251897.1,-1.713367479,-4.203360583,4.526334761,0.03337703,0.995853392
ENSG00000264188.1,-1.240715084,-3.584136828,4.95715917,0.025982859,0.995853392
ENSG00000221493.1,-3.538380996,-4.902615314,4.927341888,0.02643495,0.995853392
ENSG00000286559.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000280335.1,-3.808130862,-4.817424261,4.09438151,0.043025969,0.995853392
ENSG00000287381.1,-3.55456837,-4.900617246,4.966331333,0.025845412,0.995853392
ENSG00000287646.1,-1.098798248,-3.239345888,4.968498555,0.025813046,0.995853392
ENSG00000130383.7,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000214248.2,-1.566988817,-4.050739102,4.408703773,0.035756001,0.995853392
ENSG00000267289.1,-2.386935313,-4.583454173,4.883222787,0.02711894,0.995853392
ENSG00000268870.1,-3.55456837,-4.900617246,4.966331333,0.025845412,0.995853392
ENSG00000039987.7,-1.94200177,-4.379670782,4.59516693,0.03206222,0.995853392
ENSG00000132026.15,-1.676774682,-3.996855498,4.804481297,0.028385811,0.995853392
ENSG00000275091.1,-1.378009053,-3.952119671,4.171860152,0.041100652,0.995853392
ENSG00000214049.8,-1.941886057,-4.381964448,4.609828219,0.031789218,0.995853392
ENSG00000279717.1,-3.522291259,-4.904611197,4.888858374,0.027030554,0.995853392
ENSG00000213985.4,-0.775826181,-2.215047884,4.383762389,0.036282824,0.995853392
ENSG00000280171.1,-2.205470739,-4.266124302,5.632236759,0.017633118,0.995853392
ENSG00000268416.1,-3.481921499,-4.909873778,4.791532321,0.028599973,0.995853392
ENSG00000293089.1,-1.126578423,-2.971075645,5.176394692,0.022895784,0.995853392
ENSG00000267264.1,-1.016561874,-2.959779868,4.152420962,0.041575042,0.995853392
ENSG00000269086.3,-0.878019458,-2.712211847,4.132342886,0.042071066,0.995853392
ENSG00000269037.1,-3.587234846,-4.896614541,5.04585757,0.024684886,0.995853392
ENSG00000227392.3,-0.984024777,-1.945910086,7.841302079,0.005106581,0.995853392
ENSG00000232680.2,-2.674879494,-4.45338325,4.345862313,0.037098976,0.995853392
ENSG00000188508.11,-0.989545616,-2.771887815,4.529113298,0.033322879,0.995853392
ENSG00000267682.1,-1.481495307,-3.739517594,5.369232411,0.020494995,0.995853392
ENSG00000287496.1,-1.337653524,-3.297383408,5.033646481,0.024859505,0.995853392
ENSG00000277744.1,-1.941892824,-4.379672231,4.609860242,0.031788624,0.995853392
ENSG00000289298.2,-4.069028295,-4.734561186,7.055917601,0.007900383,0.995853392
ENSG00000213892.12,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000269656.1,-0.907925045,-1.70334772,6.254010044,0.012391248,0.995853392
ENSG00000259009.5,-3.522291259,-4.904611197,4.888858374,0.027030554,0.995853392
ENSG00000189348.7,-2.0352133,-3.128108793,15.33612822,8.99791663007706e-05,0.995853392
ENSG00000269118.3,-1.395551228,-3.627530134,3.879388755,0.048882351,0.995853392
ENSG00000232528.4,-1.642287055,-3.824047921,5.803515712,0.015994163,0.995853392
ENSG00000088827.14,-3.820737659,-4.8180547,6.7200275,0.009533616,0.995853392
ENSG00000276768.1,-3.820129293,-4.817379241,5.813832169,0.015900608,0.995853392
ENSG00000226263.1,-3.820737659,-4.8180547,6.7200275,0.009533616,0.995853392
ENSG00000101463.6,-1.178611935,-2.0929808,9.931297541,0.001624919,0.995853392
ENSG00000264616.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000237595.7,-1.091074671,-3.153412748,5.412403084,0.019994173,0.995853392
ENSG00000124089.4,-3.560549046,-4.899938097,4.980264172,0.025638068,0.995853392
ENSG00000288086.1,-2.390366475,-4.580234755,4.75702882,0.029178876,0.995853392
ENSG00000268649.5,-1.187090016,-3.384963897,5.019880591,0.025057897,0.995853392
ENSG00000216031.1,-3.538380996,-4.902615314,4.927341888,0.02643495,0.995853392
ENSG00000228812.9,-4.318302113,-4.650952283,8.249761709,0.004075735,0.995853392
